tag,building,climate,source,source_type,format,model,seed,energy_ratio,anomaly
RestaurantFastFood_5A_F2_gpt-oss-120b_seed1542799867,RestaurantFastFood,5A,F2_gpt-oss-120b_seed1542799867,llm,F2,openai/gpt-oss-120b,1542799867.0,0.9311963148192589,False
RestaurantFastFood_5A_F2_gpt-oss-120b_seed1542799868,RestaurantFastFood,5A,F2_gpt-oss-120b_seed1542799868,llm,F2,openai/gpt-oss-120b,1542799868.0,0.9478796203516083,False
RestaurantFastFood_5A_F2_gpt-oss-120b_seed1542799869,RestaurantFastFood,5A,F2_gpt-oss-120b_seed1542799869,llm,F2,openai/gpt-oss-120b,1542799869.0,0.9326667184049492,False
RestaurantFastFood_5A_F2_gpt-oss-120b_seed1542799870,RestaurantFastFood,5A,F2_gpt-oss-120b_seed1542799870,llm,F2,openai/gpt-oss-120b,1542799870.0,0.9134252563600317,False
RestaurantFastFood_5A_F2_gpt-oss-120b_seed1542799871,RestaurantFastFood,5A,F2_gpt-oss-120b_seed1542799871,llm,F2,openai/gpt-oss-120b,1542799871.0,0.9115944728042751,False
RestaurantFastFood_5A_F3_llama-3.3-70b-versatile_seed1542799867,RestaurantFastFood,5A,F3_llama-3.3-70b-versatile_seed1542799867,llm,F3,llama-3.3-70b-versatile,1542799867.0,0.8248960131897158,False
RestaurantFastFood_5A_F3_llama-3.3-70b-versatile_seed1542799868,RestaurantFastFood,5A,F3_llama-3.3-70b-versatile_seed1542799868,llm,F3,llama-3.3-70b-versatile,1542799868.0,0.8291230069094723,False
RestaurantFastFood_5A_F3_llama-3.3-70b-versatile_seed1542799869,RestaurantFastFood,5A,F3_llama-3.3-70b-versatile_seed1542799869,llm,F3,llama-3.3-70b-versatile,1542799869.0,0.8287007805480915,False
RestaurantFastFood_5A_F3_llama-3.3-70b-versatile_seed1542799870,RestaurantFastFood,5A,F3_llama-3.3-70b-versatile_seed1542799870,llm,F3,llama-3.3-70b-versatile,1542799870.0,0.8282988392407553,False
RestaurantFastFood_5A_F3_llama-3.3-70b-versatile_seed1542799871,RestaurantFastFood,5A,F3_llama-3.3-70b-versatile_seed1542799871,llm,F3,llama-3.3-70b-versatile,1542799871.0,0.8269237785591049,False
RestaurantFastFood_5A_F3_gpt-oss-120b_seed1542799867,RestaurantFastFood,5A,F3_gpt-oss-120b_seed1542799867,llm,F3,openai/gpt-oss-120b,1542799867.0,0.8695640127790358,False
RestaurantFastFood_5A_F3_gpt-oss-120b_seed1542799868,RestaurantFastFood,5A,F3_gpt-oss-120b_seed1542799868,llm,F3,openai/gpt-oss-120b,1542799868.0,0.8378426252883634,False
RestaurantFastFood_5A_F3_gpt-oss-120b_seed1542799869,RestaurantFastFood,5A,F3_gpt-oss-120b_seed1542799869,llm,F3,openai/gpt-oss-120b,1542799869.0,0.8653493123001695,False
RestaurantFastFood_5A_F3_gpt-oss-120b_seed1542799870,RestaurantFastFood,5A,F3_gpt-oss-120b_seed1542799870,llm,F3,openai/gpt-oss-120b,1542799870.0,0.8514026151377115,False
RestaurantFastFood_5A_F3_gpt-oss-120b_seed1542799871,RestaurantFastFood,5A,F3_gpt-oss-120b_seed1542799871,llm,F3,openai/gpt-oss-120b,1542799871.0,0.8342578000089257,False
RestaurantFastFood_5A_F4_llama-3.3-70b-versatile_seed1542799867,RestaurantFastFood,5A,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,0.8717217129275016,False
RestaurantFastFood_5A_F4_llama-3.3-70b-versatile_seed1542799868,RestaurantFastFood,5A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,0.8718698027931999,False
RestaurantFastFood_5A_F4_llama-3.3-70b-versatile_seed1542799869,RestaurantFastFood,5A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,0.8221888109650953,False
RestaurantFastFood_5A_F4_llama-3.3-70b-versatile_seed1542799870,RestaurantFastFood,5A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,0.8590739941838503,False
RestaurantFastFood_5A_F4_llama-3.3-70b-versatile_seed1542799871,RestaurantFastFood,5A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,0.8590739941838503,False
RestaurantFastFood_5A_F4_gpt-oss-120b_seed1542799867,RestaurantFastFood,5A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,0.9227852484119715,False
RestaurantFastFood_5A_F4_gpt-oss-120b_seed1542799868,RestaurantFastFood,5A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,0.8449799800233568,False
RestaurantFastFood_5A_F4_gpt-oss-120b_seed1542799869,RestaurantFastFood,5A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,0.855449039515135,False
RestaurantFastFood_5A_F4_gpt-oss-120b_seed1542799870,RestaurantFastFood,5A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,0.8685932693823653,False
RestaurantFastFood_5A_F4_gpt-oss-120b_seed1542799871,RestaurantFastFood,5A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,0.8529196814065326,False
RetailStripmall_5A_F1_gpt-oss-120b_seed1542799867,RetailStripmall,5A,F1_gpt-oss-120b_seed1542799867,llm,F1,openai/gpt-oss-120b,1542799867.0,58.41484004399965,True
RetailStripmall_5A_F1_gpt-oss-120b_seed1542799868,RetailStripmall,5A,F1_gpt-oss-120b_seed1542799868,llm,F1,openai/gpt-oss-120b,1542799868.0,97.53255367698894,True
RetailStripmall_5A_F1_gpt-oss-120b_seed1542799869,RetailStripmall,5A,F1_gpt-oss-120b_seed1542799869,llm,F1,openai/gpt-oss-120b,1542799869.0,0.9462331562952518,False
RetailStripmall_5A_F1_gpt-oss-120b_seed1542799870,RetailStripmall,5A,F1_gpt-oss-120b_seed1542799870,llm,F1,openai/gpt-oss-120b,1542799870.0,97.17165194795436,True
RetailStripmall_5A_F1_gpt-oss-120b_seed1542799871,RetailStripmall,5A,F1_gpt-oss-120b_seed1542799871,llm,F1,openai/gpt-oss-120b,1542799871.0,386.51308381529975,True
RetailStripmall_5A_F2_llama-3.3-70b-versatile_seed1542799867,RetailStripmall,5A,F2_llama-3.3-70b-versatile_seed1542799867,llm,F2,llama-3.3-70b-versatile,1542799867.0,1.2257368646057922,False
RetailStripmall_5A_F2_llama-3.3-70b-versatile_seed1542799868,RetailStripmall,5A,F2_llama-3.3-70b-versatile_seed1542799868,llm,F2,llama-3.3-70b-versatile,1542799868.0,1.1184815379236592,False
RetailStripmall_5A_F2_llama-3.3-70b-versatile_seed1542799869,RetailStripmall,5A,F2_llama-3.3-70b-versatile_seed1542799869,llm,F2,llama-3.3-70b-versatile,1542799869.0,1.0932674330998398,False
RetailStripmall_5A_F2_llama-3.3-70b-versatile_seed1542799870,RetailStripmall,5A,F2_llama-3.3-70b-versatile_seed1542799870,llm,F2,llama-3.3-70b-versatile,1542799870.0,1.1884323469554232,False
RetailStripmall_5A_F2_llama-3.3-70b-versatile_seed1542799871,RetailStripmall,5A,F2_llama-3.3-70b-versatile_seed1542799871,llm,F2,llama-3.3-70b-versatile,1542799871.0,1.0630529544719303,False
RetailStripmall_5A_F2_gpt-oss-120b_seed1542799867,RetailStripmall,5A,F2_gpt-oss-120b_seed1542799867,llm,F2,openai/gpt-oss-120b,1542799867.0,1.7997643789694155,False
RetailStripmall_5A_F2_gpt-oss-120b_seed1542799868,RetailStripmall,5A,F2_gpt-oss-120b_seed1542799868,llm,F2,openai/gpt-oss-120b,1542799868.0,1.5670533574090153,False
RetailStripmall_5A_F2_gpt-oss-120b_seed1542799869,RetailStripmall,5A,F2_gpt-oss-120b_seed1542799869,llm,F2,openai/gpt-oss-120b,1542799869.0,0.8531482033276648,False
RetailStripmall_5A_F2_gpt-oss-120b_seed1542799870,RetailStripmall,5A,F2_gpt-oss-120b_seed1542799870,llm,F2,openai/gpt-oss-120b,1542799870.0,1.8085671955464573,False
RetailStripmall_5A_F2_gpt-oss-120b_seed1542799871,RetailStripmall,5A,F2_gpt-oss-120b_seed1542799871,llm,F2,openai/gpt-oss-120b,1542799871.0,1.5794201003676556,False
RetailStripmall_5A_F3_llama-3.3-70b-versatile_seed1542799867,RetailStripmall,5A,F3_llama-3.3-70b-versatile_seed1542799867,llm,F3,llama-3.3-70b-versatile,1542799867.0,1.200344631075353,False
RetailStripmall_5A_F3_llama-3.3-70b-versatile_seed1542799868,RetailStripmall,5A,F3_llama-3.3-70b-versatile_seed1542799868,llm,F3,llama-3.3-70b-versatile,1542799868.0,1.1239847856401879,False
RetailStripmall_5A_F3_llama-3.3-70b-versatile_seed1542799869,RetailStripmall,5A,F3_llama-3.3-70b-versatile_seed1542799869,llm,F3,llama-3.3-70b-versatile,1542799869.0,1.1446023883645133,False
RetailStripmall_5A_F3_llama-3.3-70b-versatile_seed1542799870,RetailStripmall,5A,F3_llama-3.3-70b-versatile_seed1542799870,llm,F3,llama-3.3-70b-versatile,1542799870.0,1.1469818774970422,False
RetailStripmall_5A_F3_llama-3.3-70b-versatile_seed1542799871,RetailStripmall,5A,F3_llama-3.3-70b-versatile_seed1542799871,llm,F3,llama-3.3-70b-versatile,1542799871.0,1.1927828245261602,False
RetailStripmall_5A_F3_gpt-oss-120b_seed1542799867,RetailStripmall,5A,F3_gpt-oss-120b_seed1542799867,llm,F3,openai/gpt-oss-120b,1542799867.0,1.3149444880986172,False
RetailStripmall_5A_F3_gpt-oss-120b_seed1542799868,RetailStripmall,5A,F3_gpt-oss-120b_seed1542799868,llm,F3,openai/gpt-oss-120b,1542799868.0,1.2392008147522033,False
RetailStripmall_5A_F3_gpt-oss-120b_seed1542799869,RetailStripmall,5A,F3_gpt-oss-120b_seed1542799869,llm,F3,openai/gpt-oss-120b,1542799869.0,1.2700232824125135,False
RetailStripmall_5A_F3_gpt-oss-120b_seed1542799870,RetailStripmall,5A,F3_gpt-oss-120b_seed1542799870,llm,F3,openai/gpt-oss-120b,1542799870.0,1.312742661279177,False
RetailStripmall_5A_F3_gpt-oss-120b_seed1542799871,RetailStripmall,5A,F3_gpt-oss-120b_seed1542799871,llm,F3,openai/gpt-oss-120b,1542799871.0,1.2660501897271352,False
RetailStripmall_5A_F4_llama-3.3-70b-versatile_seed1542799867,RetailStripmall,5A,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,1.1568098212903222,False
