building,format,model,true_name,mean,std,n,sti,stable
RestaurantFastFood,F1,llama-3.3-70b-versatile,cooling_cop,189.54988154777575,0.0,5,0.0,True
RestaurantFastFood,F1,llama-3.3-70b-versatile,cooling_setpoint_C,200.0,0.0,5,0.0,True
RestaurantFastFood,F1,llama-3.3-70b-versatile,equipment_W_m2,87.84954706577393,0.776204285472596,5,0.008835609418582923,True
RestaurantFastFood,F1,llama-3.3-70b-versatile,heating_setpoint_C,242.0,4.47213595499958,5,0.01847990064049413,True
RestaurantFastFood,F1,llama-3.3-70b-versatile,lighting_W_m2,83.99014778325123,0.6119507327585593,5,0.007285982331377568,True
RestaurantFastFood,F1,llama-3.3-70b-versatile,occupancy_m2_person,806.9837750680238,338.01289592358,5,0.41885959342254137,False
RestaurantFastFood,F1,llama-3.3-70b-versatile,outdoor_air,1332.1945397583172,1200.9316304638585,5,0.9014686628889261,False
RestaurantFastFood,F1,llama-3.3-70b-versatile,window_shgc,66.2269129287599,0.0,5,0.0,True
RestaurantFastFood,F1,llama-3.3-70b-versatile,window_u_value,83.4590124057407,1.087846255168961,5,0.013034497099969684,True
RestaurantFastFood,F1,openai/gpt-oss-120b,cooling_cop,10.502763885232955,5.885938345616715,5,0.5604180394736317,False
RestaurantFastFood,F1,openai/gpt-oss-120b,cooling_setpoint_C,4.0,0.0,5,0.0,True
RestaurantFastFood,F1,openai/gpt-oss-120b,equipment_W_m2,67.26073257187869,25.89948491052114,5,0.38506099948946376,False
RestaurantFastFood,F1,openai/gpt-oss-120b,heating_setpoint_C,5.0,0.0,5,0.0,True
RestaurantFastFood,F1,openai/gpt-oss-120b,lighting_W_m2,85.04652435686918,20.537723023865638,5,0.2414880934779413,False
RestaurantFastFood,F1,openai/gpt-oss-120b,occupancy_m2_person,45.11740401088381,13.520515836943202,5,0.29967406444044536,False
RestaurantFastFood,F1,openai/gpt-oss-120b,outdoor_air,3855.8764732209456,3645.00065481454,5,0.9453105357832551,False
RestaurantFastFood,F1,openai/gpt-oss-120b,window_shgc,16.93931398416887,13.70813341772299,5,0.8092496207658898,False
RestaurantFastFood,F1,openai/gpt-oss-120b,window_u_value,59.13403064947702,23.23003918523634,5,0.3928370674228983,False
RestaurantFastFood,F2,llama-3.3-70b-versatile,cooling_cop,12.082126875493552,2.354375338246683,5,0.19486431176468733,False
RestaurantFastFood,F2,llama-3.3-70b-versatile,cooling_setpoint_C,3.0400000000000036,1.9919839356782,5,0.6552578735783545,False
RestaurantFastFood,F2,llama-3.3-70b-versatile,equipment_W_m2,76.99881843245373,6.455718928153782,5,0.08384179211551127,True
RestaurantFastFood,F2,llama-3.3-70b-versatile,heating_setpoint_C,7.300000000000004,2.4647515087732437,5,0.33763719298263595,False
RestaurantFastFood,F2,llama-3.3-70b-versatile,lighting_W_m2,68.91078270388616,19.786364967345907,5,0.28713017311629047,False
RestaurantFastFood,F2,llama-3.3-70b-versatile,occupancy_m2_person,53.239947596492996,0.22534193061571764,5,0.004232572359454413,True
RestaurantFastFood,F2,llama-3.3-70b-versatile,outdoor_air,76.72683872892733,5.835478805194076,5,0.07605524874823236,True
RestaurantFastFood,F2,llama-3.3-70b-versatile,window_shgc,78.89182058047494,32.764457153087896,5,0.41530867093713414,False
RestaurantFastFood,F2,llama-3.3-70b-versatile,window_u_value,12.51763561177329,3.067726439576448,5,0.24507235509325262,False
RestaurantFastFood,F2,openai/gpt-oss-120b,cooling_cop,15.240852856014737,4.708750676493372,5,0.30895585181344254,False
RestaurantFastFood,F2,openai/gpt-oss-120b,cooling_setpoint_C,4.0,0.0,5,0.0,True
RestaurantFastFood,F2,openai/gpt-oss-120b,equipment_W_m2,66.52225285545491,8.633161636840383,5,0.1297785517817509,False
RestaurantFastFood,F2,openai/gpt-oss-120b,heating_setpoint_C,5.0,0.0,5,0.0,True
RestaurantFastFood,F2,openai/gpt-oss-120b,lighting_W_m2,80.623973727422,22.484505644711266,5,0.27888113925924973,False
RestaurantFastFood,F2,openai/gpt-oss-120b,occupancy_m2_person,16.90013100876751,9.0136772246288,5,0.5333495474060321,False
RestaurantFastFood,F2,openai/gpt-oss-120b,outdoor_air,19.71952856929733,9.6921824797785,5,0.4915017337112671,False
RestaurantFastFood,F2,openai/gpt-oss-120b,window_shgc,29.709762532981536,16.48348124095709,5,0.5548169973643637,False
RestaurantFastFood,F2,openai/gpt-oss-120b,window_u_value,46.97153977134517,18.557266964495888,5,0.39507469959110614,False
RestaurantFastFood,F3,llama-3.3-70b-versatile,cooling_cop,18.45222426954462,0.0,5,0.0,True
RestaurantFastFood,F3,llama-3.3-70b-versatile,cooling_setpoint_C,3.680000000000001,0.7155417527999302,5,0.19444069369563313,False
RestaurantFastFood,F3,llama-3.3-70b-versatile,equipment_W_m2,87.49507680189052,0.9437913308724368,5,0.010786793558789632,True
RestaurantFastFood,F3,llama-3.3-70b-versatile,heating_setpoint_C,0.0,0.0,5,,False
RestaurantFastFood,F3,llama-3.3-70b-versatile,lighting_W_m2,15.435139573070606,15.703423703278348,5,1.0173813867336718,False
RestaurantFastFood,F3,llama-3.3-70b-versatile,occupancy_m2_person,8.838053008162861,0.0,5,0.0,True
RestaurantFastFood,F3,llama-3.3-70b-versatile,outdoor_air,67.77562285543787,7.123578329890079,5,0.10510531707077524,False
RestaurantFastFood,F3,llama-3.3-70b-versatile,window_shgc,11.345646437994718,1.179983101583004,5,0.10400316174417644,False
RestaurantFastFood,F3,llama-3.3-70b-versatile,window_u_value,9.948917538311855,3.997002365642171,5,0.4017524871676027,False
RestaurantFastFood,F3,openai/gpt-oss-120b,cooling_cop,13.187680968675968,7.208772802121165,5,0.5466292989073513,False
RestaurantFastFood,F3,openai/gpt-oss-120b,cooling_setpoint_C,2.0,0.0,5,0.0,True
RestaurantFastFood,F3,openai/gpt-oss-120b,equipment_W_m2,73.90705001969279,10.814239186928317,5,0.14632215984871302,False
RestaurantFastFood,F3,openai/gpt-oss-120b,heating_setpoint_C,2.0,1.118033988749895,5,0.5590169943749475,False
RestaurantFastFood,F3,openai/gpt-oss-120b,lighting_W_m2,31.58182813355227,0.0,5,0.0,True
RestaurantFastFood,F3,openai/gpt-oss-120b,occupancy_m2_person,45.11740401088381,13.520515836943204,5,0.29967406444044536,False
RestaurantFastFood,F3,openai/gpt-oss-120b,outdoor_air,70.16261375503505,13.955159580687528,5,0.19889737331352011,False
RestaurantFastFood,F3,openai/gpt-oss-120b,window_shgc,7.651715039577837,2.8903565039850396,5,0.3777396948311482,False
RestaurantFastFood,F3,openai/gpt-oss-120b,window_u_value,21.62490878131842,0.0,5,0.0,True
RestaurantFastFood,F4,llama-3.3-70b-versatile,cooling_cop,15.293498289023432,4.325263681272697,5,0.2828171553382955,False
RestaurantFastFood,F4,llama-3.3-70b-versatile,cooling_setpoint_C,4.160000000000002,0.21908902300206942,5,0.05266563052934359,True
RestaurantFastFood,F4,llama-3.3-70b-versatile,equipment_W_m2,72.38085860575029,7.9658501654906955,5,0.11005465144976671,False
RestaurantFastFood,F4,llama-3.3-70b-versatile,heating_setpoint_C,0.0,0.0,5,,False
RestaurantFastFood,F4,llama-3.3-70b-versatile,lighting_W_m2,7.006020799124253,12.850965387929826,5,1.8342745127927946,False
RestaurantFastFood,F4,llama-3.3-70b-versatile,occupancy_m2_person,53.64305149652323,0.0,5,0.0,True
RestaurantFastFood,F4,llama-3.3-70b-versatile,outdoor_air,62.70326719379384,0.0,5,0.0,True
RestaurantFastFood,F4,llama-3.3-70b-versatile,window_shgc,12.9287598944591,1.1799831015830042,5,0.09126808071427729,True
RestaurantFastFood,F4,llama-3.3-70b-versatile,window_u_value,18.997810751641953,0.4351385020675825,5,0.02290466558258425,True
RestaurantFastFood,F4,openai/gpt-oss-120b,cooling_cop,18.45222426954462,5.583891401841646,5,0.30261345842505577,False
RestaurantFastFood,F4,openai/gpt-oss-120b,cooling_setpoint_C,2.8,1.0954451150103321,5,0.3912303982179758,False
RestaurantFastFood,F4,openai/gpt-oss-120b,equipment_W_m2,62.09137455691217,7.091798095159481,5,0.11421551134544829,False
RestaurantFastFood,F4,openai/gpt-oss-120b,heating_setpoint_C,0.0,0.0,5,,False
RestaurantFastFood,F4,openai/gpt-oss-120b,lighting_W_m2,13.158182813355229,7.779682275696375,5,0.5912429083900698,False
RestaurantFastFood,F4,openai/gpt-oss-120b,occupancy_m2_person,42.791494507709366,21.352008726553642,5,0.4989778686674951,False
RestaurantFastFood,F4,openai/gpt-oss-120b,outdoor_air,62.70326719379382,13.955159580687532,5,0.22255873107149304,False
RestaurantFastFood,F4,openai/gpt-oss-120b,window_shgc,10.81794195250659,0.0,5,0.0,True
RestaurantFastFood,F4,openai/gpt-oss-120b,window_u_value,30.381902213573348,7.994004731284345,5,0.2631173214596472,False
RetailStripmall,F1,llama-3.3-70b-versatile,cooling_cop,190.3907074973601,0.0,5,0.0,True
RetailStripmall,F1,llama-3.3-70b-versatile,cooling_setpoint_C,213.93888656341568,0.0,5,0.0,True
RetailStripmall,F1,llama-3.3-70b-versatile,equipment_W_m2,12.558139534883733,14.011507285015874,5,1.1157311356586703,False
RetailStripmall,F1,llama-3.3-70b-versatile,heating_setpoint_C,227.80672666982474,8.473966755091563,5,0.037198053275105614,True
RetailStripmall,F1,llama-3.3-70b-versatile,lighting_W_m2,86.45546372819099,0.5133305733470664,5,0.005937514544609192,True
RetailStripmall,F1,llama-3.3-70b-versatile,occupancy_m2_person,4743.396835647401,0.0,5,0.0,True
RetailStripmall,F1,llama-3.3-70b-versatile,outdoor_air,4980.440304826418,0.0,5,0.0,True
RetailStripmall,F1,llama-3.3-70b-versatile,window_shgc,66.2269129287599,0.0,5,0.0,True
RetailStripmall,F1,llama-3.3-70b-versatile,window_u_value,83.4590124057407,1.087846255168961,5,0.013034497099969684,True
RetailStripmall,F1,openai/gpt-oss-120b,cooling_cop,15.522703273495244,7.229706408463121,5,0.46575047406901887,False
RetailStripmall,F1,openai/gpt-oss-120b,cooling_setpoint_C,0.4604437002930072,0.0,5,0.0,True
RetailStripmall,F1,openai/gpt-oss-120b,equipment_W_m2,149.30232558139534,148.48614119356355,5,0.9945333444428712,False
RetailStripmall,F1,openai/gpt-oss-120b,heating_setpoint_C,0.5210800568450944,0.0,5,0.0,True
RetailStripmall,F1,openai/gpt-oss-120b,lighting_W_m2,45.83103764921947,33.94531151826866,5,0.7406620766057819,False
