Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/12  18:00:00,,,33101741.828144535,17465465.088949222,33101741.828144535,7620164.311610587 
 01/12  19:00:00,,,33345865.91425975,17341806.806187164,33345865.91425974,7990690.543748916 
 01/12  20:00:00,,,33605824.952065,17218148.52342511,33605824.95206499,7986163.5469887685 
 01/12  21:00:00,,,33434701.056934536,17094490.24066305,33434701.056934524,7963628.2212826805 
 01/12  22:00:00,,,32920454.06494107,16970831.957900997,32920454.064941064,7783167.488119336 
 01/12  23:00:00,,,27667156.71764388,12291944.313823648,27667156.717643872,7521045.028185609 
 01/12  24:00:00,,,29292341.767681893,13548994.951142002,29292341.767681893,7415706.273079785 
 01/13  01:00:00,,,21653983.549420264,8360778.508785401,21653983.549420264,7121892.251505604 
 01/13  02:00:00,,,15457400.64062358,7202641.201264004,15457400.640623583,3085469.8105884884 
 01/13  03:00:00,,,15886989.157687463,7045065.972354781,15886989.157687463,3630679.693815214 
 01/13  04:00:00,,,16787963.835658778,6983474.7260773815,16787963.835658778,4583996.122418712 
 01/13  05:00:00,,,17982043.205489326,7168248.4649095815,17982043.205489326,3534366.162025933 
