Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/05  23:00:00,,,30494168.41844428,14084177.858593762,30494168.418444276,8632907.132234463 
 01/05  24:00:00,,,33013205.914952885,16059483.37501275,33013205.91495288,8698180.300032191 
 01/06  01:00:00,,,26483107.806738913,11581534.379161809,26483107.806738913,8815380.20844216 
 01/06  02:00:00,,,18298290.39444548,10976868.122852663,18298290.394445475,2357598.988349875 
 01/06  03:00:00,,,17848365.8674051,10975649.216364183,17848365.867405094,1886079.1906798999 
 01/06  04:00:00,,,18253986.05619304,10876079.555416983,18253986.05619304,2357598.988349875 
 01/06  05:00:00,,,20177301.275141276,11174788.538258582,20177301.275141276,1886079.1906798999 
 01/06  06:00:00,,,27945939.273426127,12568339.774420526,27945939.273426123,8833593.349975044 
 01/06  07:00:00,,,31543532.66507026,13926891.260147657,31543532.66507025,8886233.609696971 
 01/06  08:00:00,,,31066637.95372262,14126799.75416443,31066637.95372261,8945523.790725823 
 01/06  09:00:00,,,27576033.80378155,14741580.642354494,27576033.803781547,8941345.469243648 
 01/06  10:00:00,,,26515043.81047788,14616801.236264933,26515043.810477875,8812795.67217645 
 01/06  11:00:00,,,27816764.413797583,16175950.591785753,27816764.41379758,8546931.365217576 
 01/06  12:00:00,,,31843416.673599765,20165051.504239477,31843416.673599765,8272254.094220617 
 01/06  13:00:00,,,28096436.79913135,16275904.838794136,28096436.79913135,8193633.3515938 
 01/06  14:00:00,,,27218237.773243904,16075996.34477737,27218237.7732439,8032030.087822122 
 01/06  15:00:00,,,26969394.565489925,15876087.850760601,26969394.565489925,7967623.632411762 
 01/06  16:00:00,,,27028979.172469314,15876087.850760601,27028979.17246931,8042819.936418727 
 01/06  17:00:00,,,31929066.57663671,17558794.40511711,31929066.5766367,8086538.381053715 
 01/06  18:00:00,,,34092981.24508627,18011814.403654855,34092981.24508626,8150715.342901513 
 01/06  19:00:00,,,33932654.17847551,17811905.909638084,33932654.17847551,8191006.725053896 
 01/06  20:00:00,,,33734699.983817264,17611997.415621314,33734699.983817264,8193726.274401839 
 01/06  21:00:00,,,33493749.65419628,17412088.921604548,33493749.65419627,8152855.750200272 
 01/06  22:00:00,,,33195549.56280528,17212180.42758778,33195549.562805273,8174505.01641482 
 01/06  23:00:00,,,30095131.124571614,14084177.858593762,30095131.12457161,8233682.421013034 
 01/06  24:00:00,,,32583948.904080383,16059483.37501275,32583948.904080376,8268923.289159686 
 01/07  01:00:00,,,26277886.50155378,11875753.96910454,26277886.50155378,8308713.212446921 
 01/07  02:00:00,,,18295518.33467402,10976868.122852663,18295518.33467402,2357598.9883498745 
 01/07  03:00:00,,,17848786.064046178,10975649.216364183,17848786.064046178,1886079.1906798999 
 01/07  04:00:00,,,18218639.162771143,10876079.555416983,18218639.162771147,2357598.9883498745 
