Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/11  13:00:00,,,63328500.469194256,101087244.62988208 
 01/11  14:00:00,,,63337277.50364943,100287396.62988208 
 01/11  15:00:00,,,63604855.14537203,100287396.62988208 
 01/11  16:00:00,,,65627252.139954016,99887472.62988208 
 01/11  17:00:00,,,69905389.02401394,99887472.62988208 
 01/11  18:00:00,,,98556504.2135206,40820021.28469339 
 01/11  19:00:00,,,107990888.14799999,40820021.28469339 
 01/11  20:00:00,,,107990888.14799999,40820021.28469339 
 01/11  21:00:00,,,102666076.0548758,40820021.28469339 
 01/11  22:00:00,,,7806126.757767913,35231738.720005296 
 01/11  23:00:00,,,5325035.6500713,35231738.720005296 
 01/11  24:00:00,,,5325035.6500713,35231738.720005296 
 01/12  01:00:00,,,5325035.6500713,35231738.720005296 
 01/12  02:00:00,,,5325035.6500713,35231738.720005296 
 01/12  03:00:00,,,5325035.6500713,35231738.720005296 
 01/12  04:00:00,,,5325035.6500713,35231738.720005296 
 01/12  05:00:00,,,5325035.6500713,35231738.720005296 
 01/12  06:00:00,,,5325035.6500713,35231738.720005296 
 01/12  07:00:00,,,5325035.6500713,35231738.720005296 
 01/12  08:00:00,,,5325035.6500713,35231738.720005296 
 01/12  09:00:00,,,64114471.25210512,100287396.62988208 
 01/12  10:00:00,,,68700672.8737265,100287396.62988208 
 01/12  11:00:00,,,66380087.717886046,101087244.62988208 
 01/12  12:00:00,,,64658223.985058516,101087244.62988208 
 01/12  13:00:00,,,65333871.611769006,101087244.62988208 
 01/12  14:00:00,,,64603723.90231593,100287396.62988208 
 01/12  15:00:00,,,65972307.27413679,100287396.62988208 
 01/12  16:00:00,,,67577567.80288194,99887472.62988208 
 01/12  17:00:00,,,74724870.01648311,99887472.62988208 
 01/12  18:00:00,,,99606399.32174575,40820021.28469339 
 01/12  19:00:00,,,107990888.14799999,40820021.28469339 
 01/12  20:00:00,,,107990888.14799999,40820021.28469339 
 01/12  21:00:00,,,102666076.0548758,40820021.28469339 
