Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 02/25  15:00:00,,,56706478.63129152,15522971.616402913,56706478.63129152,37680737.46705593 
 02/25  16:00:00,,,47231562.48047108,15522971.616402913,47231562.48047108,28218344.453933813 
 02/25  17:00:00,,,40519773.752300404,15822834.357428063,40519773.7523004,21333307.80229508 
 02/25  18:00:00,,,36470748.11303663,16344885.194180233,36470748.11303663,16760706.59078886 
 02/25  19:00:00,,,39374010.84071485,17702356.30732748,39374010.84071485,14196024.42734116 
 02/25  20:00:00,,,39553891.01437788,17611997.415621314,39553891.01437787,13248296.608683607 
 02/25  21:00:00,,,37928992.56998986,17412088.921604548,37928992.569989845,11855039.488444911 
 02/25  22:00:00,,,35689008.31536093,17212180.42758778,35689008.315360926,10051601.221162487 
 02/25  23:00:00,,,29435028.62628695,14084177.858593762,29435028.626286946,7252661.7055044435 
 02/25  24:00:00,,,29355342.539161704,16059483.37501275,29355342.5391617,4773593.694986955 
 02/26  01:00:00,,,22854523.692295536,11875753.96910454,22854523.692295536,4643024.5795681365 
 02/26  02:00:00,,,19076222.218590915,10976868.122852663,19076222.218590915,2880604.256706425 
 02/26  03:00:00,,,18647539.911676906,10975649.216364183,18647539.911676902,2433612.461827286 
 02/26  04:00:00,,,19715318.955355976,10876079.555416983,19715318.955355972,3557957.7873910153 
 02/26  05:00:00,,,19026409.625617854,11174788.538258582,19026409.62561785,2202455.9819867583 
 02/26  06:00:00,,,22526611.43682711,11871776.164888982,22526611.436827112,5189930.218857442 
 02/26  07:00:00,,,25432557.37095909,13138199.51416194,25432557.37095908,4930611.315135627 
 02/26  08:00:00,,,21271699.586165994,13034158.55653334,21271699.586165994,5103095.61113985 
 02/26  09:00:00,,,22107895.76473182,13963829.321059484,22107895.76473182,4930783.032429063 
 02/26  10:00:00,,,22207288.59091176,14263692.062084636,22207288.59091176,4653548.726228766 
 02/26  11:00:00,,,23525487.228480536,15469718.123070369,23525487.228480533,4691033.559906694 
 02/26  12:00:00,,,31877758.15004207,19458819.03552409,31877758.150042064,8733632.953397056 
 02/26  13:00:00,,,30425798.649923123,15569672.370078752,30425798.649923123,10883544.55702573 
 02/26  14:00:00,,,30776450.822284933,15369763.87606198,30776450.82228493,11991664.284621855 
 02/26  15:00:00,,,31650880.15431477,15169855.382045211,31650880.154314768,13067735.08182602 
 02/26  16:00:00,,,31578028.18169915,15169855.382045211,31578028.181699146,12997472.464789847 
 02/26  17:00:00,,,30693550.78072223,15116572.471306855,30693550.780722223,12272627.700706186 
 02/26  18:00:00,,,29590124.536018282,15116572.471306855,29590124.536018286,11168169.63185085 
 02/26  19:00:00,,,33234857.47815566,16001600.591081653,33234857.478155654,9812839.069513626 
 02/26  20:00:00,,,33528782.351675414,15940657.238776578,33528782.351675402,8938841.93956501 
 02/26  21:00:00,,,32852658.35572918,15740748.744759811,32852658.355729178,8486653.624451298 
