Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/06  03:00:00,,,18104837.850468095,9284673.139101181,18104837.850468095,3659996.972070795 
 01/06  04:00:00,,,18066318.992529318,9201442.170574982,18066318.992529318,3718348.9144141194 
 01/06  05:00:00,,,20443813.097595308,9451135.076153582,20443813.097595304,3785018.9696996096 
 01/06  06:00:00,,,25273632.94921748,11345193.523640286,25273632.94921748,7384543.910704244 
 01/06  07:00:00,,,29983549.0712034,13549211.934858698,29983549.071203396,7702924.56760703 
 01/06  08:00:00,,,28477988.858235992,13510678.98521581,28477988.85823599,7794156.897527628 
 01/06  09:00:00,,,24519199.791179057,13731897.1114042,24519199.791179053,7714871.685667837 
 01/06  10:00:00,,,24648677.01828911,13982554.451431494,24648677.01828911,7577694.45348059 
 01/06  11:00:00,,,26504811.872005463,16135783.192941498,26504811.87200546,7272192.287011356 
 01/06  12:00:00,,,30763094.484882466,20075678.704397365,30763094.484882466,7269792.373327193 
 01/06  13:00:00,,,27106022.46797148,16219335.639617264,27106022.467971474,7243680.752113301 
 01/06  14:00:00,,,26349407.06311249,16052230.746265737,26349407.063112482,7180107.823828391 
 01/06  15:00:00,,,25969063.00927844,15885125.852914209,25969063.009278428,6952857.047878753 
 01/06  16:00:00,,,25674394.621652976,15885125.852914209,25674394.621652972,6674065.852694345 
 01/06  17:00:00,,,29705758.85296878,18127335.54992991,29705758.852968775,6929377.835572377 
 01/06  18:00:00,,,34497974.3528699,19267765.81199598,34497974.35286989,7288952.732170752 
 01/06  19:00:00,,,34344698.61431168,19100660.91864445,34344698.61431168,7308198.160666138 
 01/06  20:00:00,,,34176076.045948066,18933556.02529292,34176076.045948066,7310163.026660038 
 01/06  21:00:00,,,33936460.63283949,18766451.131941393,33936460.632839486,7237756.404472632 
 01/06  22:00:00,,,33597917.79880709,18599346.238589868,33597917.798807085,7185174.7852102 
 01/06  23:00:00,,,28761772.50300219,14141476.56222611,28761772.503002185,6842109.464236514 
 01/06  24:00:00,,,30351578.99986374,15476451.225459158,30351578.999863736,6619585.534496635 
 01/07  01:00:00,,,23304334.568318248,10923350.991960116,23304334.568318244,6289271.278371876 
 01/07  02:00:00,,,16753784.70236415,9394575.175631016,16753784.70236415,2261120.915339373 
 01/07  03:00:00,,,17043694.5535468,9284673.139101181,17043694.553546805,2602620.422458445 
 01/07  04:00:00,,,16965687.898109548,9201442.170574982,16965687.898109548,2622857.0007776297 
 01/07  05:00:00,,,18478811.969273068,9451135.076153582,18478811.969273068,3459860.5278903903 
 01/07  06:00:00,,,21709693.79378189,10033751.855836982,21709693.793781888,6371819.774510126 
 01/07  07:00:00,,,26778269.156450436,12206460.486041443,26778269.156450436,6447151.904850311 
 01/07  08:00:00,,,26729307.982118204,12738186.420976767,26729307.9821182,6805220.140827089 
 01/07  09:00:00,,,24153399.106856093,14291942.182438288,24153399.106856093,6761589.982981949 
 01/07  10:00:00,,,23829584.0526207,13982554.451431494,23829584.0526207,6727758.25313431 
 01/07  11:00:00,,,25184130.585791815,15557311.085590305,25184130.58579181,6515133.308224451 
 01/07  12:00:00,,,29680535.65965628,19497206.597046167,29680535.659656275,6769366.903188001 
 01/07  13:00:00,,,26222079.48505052,15640863.532266071,26222079.485050514,6959534.883274105 
 01/07  14:00:00,,,25497569.562913653,15473758.638914542,25497569.562913645,6909528.065342881 
 01/07  15:00:00,,,25272545.939495828,15306653.745563015,25272545.939495824,6839284.860597059 
 01/07  16:00:00,,,25253845.81938718,15306653.745563015,25253845.819387175,6833141.012519712 
 01/07  17:00:00,,,27841759.642349713,17097099.166640613,27841759.6423497,6923978.440783802 
 01/07  18:00:00,,,34144466.43255435,19267765.81199598,34144466.43255434,6930020.755184952 
 01/07  19:00:00,,,34272998.84214228,19100660.91864445,34272998.84214227,7232947.5452756435 
 01/07  20:00:00,,,34506014.60403654,18933556.02529292,34506014.60403654,7253624.287076296 
 01/07  21:00:00,,,34350919.82076254,18766451.131941393,34350919.82076253,7290120.923797734 
 01/07  22:00:00,,,34013602.74223771,18599346.238589868,34013602.7422377,7328945.28022247 
 01/07  23:00:00,,,29301277.58358664,14141476.56222611,29301277.583586637,7381225.258969573 
 01/07  24:00:00,,,31103506.41491344,15476451.225459158,31103506.41491344,7371512.951022952 
 01/08  01:00:00,,,23858659.324907236,10923350.991960116,23858659.324907232,6844536.486481833 
 01/08  02:00:00,,,17214656.400074743,9394575.175631016,17214656.400074743,2723922.47036527 
 01/08  03:00:00,,,17788238.12671354,9284673.139101181,17788238.126713537,3365105.138168951 
 01/08  04:00:00,,,17844235.338817887,9201442.170574982,17844235.338817883,3489979.2188110417 
 01/08  05:00:00,,,18404780.11598377,9451135.076153582,18404780.115983766,3403027.659472374 
