Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/07  07:00:00,,,27647585.068265505,10878595.090973629,27647585.068265498,8738727.257767217 
 01/07  08:00:00,,,28173830.13912915,11282545.476116223,28173830.13912914,8984783.996433616 
 01/07  09:00:00,,,25550252.092920706,12785990.717357125,25550252.092920706,8951081.058804765 
 01/07  10:00:00,,,24123763.751891755,12224160.776821954,24123763.75189175,8894248.73830994 
 01/07  11:00:00,,,24956943.931808878,13360518.275266407,24956943.931808874,8590483.020242166 
 01/07  12:00:00,,,29289922.160402685,17287882.106433056,29289922.160402685,8670715.265014853 
 01/07  13:00:00,,,25591342.873955917,13439893.4951791,25591342.873955917,8634882.496222064 
 01/07  14:00:00,,,24900676.23408144,13281143.055353714,24900676.23408144,8598263.406576604 
 01/07  15:00:00,,,24622684.107220493,13122392.615528334,24622684.10722049,8463945.539954595 
 01/07  16:00:00,,,24472594.514274295,13122392.615528334,24472594.514274295,8329252.995003923 
 01/07  17:00:00,,,29326956.454603672,14639831.908180049,29326956.454603672,8492031.218726976 
 01/07  18:00:00,,,32156057.524451748,15661632.782416573,32156057.524451744,8644610.097303066 
 01/07  19:00:00,,,32188318.637545064,15502882.342591189,32188318.637545064,8836153.369623287 
 01/07  20:00:00,,,32418335.90276305,15344131.902765805,32418335.902763043,8850481.346740944 
 01/07  21:00:00,,,32256865.73714078,15185381.46294042,32256865.737140775,8871513.107116451 
 01/07  22:00:00,,,31960445.852906957,15026631.023115035,31960445.85290695,8931492.497385865 
 01/07  23:00:00,,,28644276.823924515,11974947.452393651,28644276.82392451,8968187.356334515 
 01/07  24:00:00,,,31239567.33343267,14019281.008592492,31239567.33343267,9036876.621759579 
 01/08  01:00:00,,,24432336.92427562,9808328.541287128,24432336.924275614,8617171.640351746 
 01/08  02:00:00,,,16735366.752038881,8882538.32216103,16735366.752038881,2861525.8110660287 
 01/08  03:00:00,,,16107230.246190341,8854013.675968384,16107230.246190341,2188816.2344294535 
 01/08  04:00:00,,,16869831.16330965,8774943.861819783,16869831.16330965,3012132.432701083 
 01/08  05:00:00,,,16933895.447859906,9012153.304265583,16933895.447859906,2409705.9461608664 
 01/08  06:00:00,,,23220147.601703305,9565642.003305783,23220147.6017033,8427890.488328729 
