Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 09/29  14:00:00,,,71261760.30837218,45468868.15218303,71261760.30837217,22262852.493354756 
 09/29  15:00:00,,,67429048.53246728,45468868.15218303,67429048.53246728,18443560.234083813 
 09/29  16:00:00,,,66468466.43400493,46487142.69372765,66468466.43400493,16583740.19775743 
 09/29  17:00:00,,,65539038.48281233,46527763.64251882,65539038.482812315,15610727.586777313 
 09/29  18:00:00,,,66495434.97818981,47344587.30523728,66495434.978189796,14925392.292706331 
 09/29  19:00:00,,,69430183.3632177,47036820.72000567,69430183.3632177,14053559.118225642 
 09/29  20:00:00,,,68630538.06482024,46357971.02564259,68630538.06482024,13936428.106072776 
 09/29  21:00:00,,,66364884.96572879,45679121.33127951,66364884.96572878,12499161.95952109 
 09/29  22:00:00,,,58423265.842473835,40314362.936433986,58423265.84247383,9956414.516995635 
 09/29  23:00:00,,,57574913.786046326,40812084.63966748,57574913.786046326,8157742.517810361 
 09/29  24:00:00,,,49381023.24887363,36607975.127686,49381023.24887363,6277648.371279968 
 09/30  01:00:00,,,49390534.554207996,35432109.66098354,49390534.554207996,8588107.582914034 
 09/30  02:00:00,,,48037707.148491666,35664344.84054358,48037707.14849166,7015926.018405254 
 09/30  03:00:00,,,51592702.400835365,35326225.971536584,51592702.400835365,10806039.393182892 
 09/30  04:00:00,,,53795039.30846999,36340582.57855758,53795039.30846998,11681177.966677442 
 09/30  05:00:00,,,60306904.72659358,38707414.66160659,60306904.72659356,15829439.046059595 
 09/30  06:00:00,,,58169612.12460164,40275316.5365257,58169612.12460164,9378849.259653587 
 09/30  07:00:00,,,51399650.687575124,41049779.95270663,51399650.687575124,6068696.035693479 
 09/30  08:00:00,,,51901405.51562542,42731600.63775966,51901405.51562542,5698307.005947364 
 09/30  09:00:00,,,52856500.71899471,43693337.031216055,52856500.71899471,5711763.906061885 
 09/30  10:00:00,,,55212964.91073967,46121592.40596678,55212964.91073966,5654674.705551313 
 09/30  11:00:00,,,62773812.84311685,50829105.11893997,62773812.84311685,8203001.797396017 
 09/30  12:00:00,,,60158917.65357536,46461017.253148325,60158917.65357536,9634353.139697198 
 09/30  13:00:00,,,63215755.01476332,45782167.558785245,63215755.0147633,13932826.82207308 
 09/30  14:00:00,,,61335363.29429926,45103317.86442216,61335363.29429926,12723564.509070419 
 09/30  15:00:00,,,57202120.524758086,45103317.86442216,57202120.524758086,8606904.134627268 
 09/30  16:00:00,,,58949905.48424272,46121592.40596678,58949905.48424272,9460058.499947788 
 09/30  17:00:00,,,60030212.08606972,46487142.69372765,60030212.08606972,10174616.824654207 
 09/30  18:00:00,,,60144081.39650923,46768488.78093119,60144081.39650923,9183026.485185767 
 09/30  19:00:00,,,62643886.60603793,47036820.72000567,62643886.60603793,6890892.228709056 
 09/30  20:00:00,,,60875392.82737173,46357971.02564259,60875392.827371724,5855631.520028647 
 09/30  21:00:00,,,59960667.87663007,45679121.33127951,59960667.87663006,5907371.341318503 
 09/30  22:00:00,,,54243258.49233363,40314362.936433986,54243258.49233362,5950229.364909506 
 09/30  23:00:00,,,55097166.102365345,40812084.63966748,55097166.10236534,5917544.533312501 
 09/30  24:00:00,45331824000.27242,58997076925.56389,48558030.67573413,36607975.127686,48558030.67573413,5777721.435561826 
 10/01  01:00:00,,,44050992.441474274,35432109.66098354,44050992.44147427,3343890.796382214 
 10/01  02:00:00,,,43795346.73021455,35664344.84054358,43795346.73021456,2808614.9250839385 
 10/01  03:00:00,,,44744322.26853623,35326225.971536584,44744322.26853623,3997257.8203274165 
 10/01  04:00:00,,,45132834.35263748,36340582.57855758,45132834.35263747,3046606.5209026234 
 10/01  05:00:00,,,50847358.39374691,38707414.66160659,50847358.39374691,6639447.268651569 
 10/01  06:00:00,,,54309485.405211404,40275316.5365257,54309485.40521139,5906769.778915006 
 10/01  07:00:00,,,50848681.373164594,40825880.34120433,50848681.373164594,6167116.224882645 
 10/01  08:00:00,,,51482779.76711997,42309519.53710767,51482779.76711997,6114256.33105635 
 10/01  09:00:00,,,52323890.4822301,43327794.078652285,52323890.48223009,5853888.9439378865 
 10/01  10:00:00,,,54737357.60551786,45756042.1182059,54737357.60551785,5759737.314425979 
 10/01  11:00:00,,,59832196.56824757,50463554.83117909,59832196.56824757,5707440.92691076 
 10/01  12:00:00,,,55899115.86054394,46095466.96538744,55899115.86054394,5790538.949577212 
 10/01  13:00:00,,,56998849.77728647,45416617.27102436,56998849.77728647,8117920.112452 
 10/01  14:00:00,,,57680536.891646296,44737767.576661274,57680536.89164629,9461169.919391612 
 10/01  15:00:00,,,56246562.0852838,44737767.576661274,56246562.085283786,8040394.584815308 
 10/01  16:00:00,,,57181350.182783335,45390461.26712375,57181350.18278333,8444777.908592757 
 10/01  17:00:00,,,57132942.77536372,45390461.26712375,57132942.77536371,8391399.381284542 
 10/01  18:00:00,,,56257394.869730376,45232555.27251301,56257394.86973037,6850352.049507921 
 10/01  19:00:00,,,59886229.23482095,45304339.07902567,59886229.23482094,5885911.29261392 
 10/01  20:00:00,,,59079230.092628345,44625489.38466258,59079230.092628345,5805205.10345069 
 10/01  21:00:00,,,58105771.52600548,43946639.6902995,58105771.52600548,5797804.180990237 
 10/01  22:00:00,,,54096542.14366877,40314362.936433986,54096542.14366877,5797775.915375077 
 10/01  23:00:00,,,55035514.70678704,40812084.63966748,55035514.70678702,5852974.243570708 
 10/01  24:00:00,,,48235217.27443898,36303564.91174891,48235217.27443897,5776089.556681581 
 10/02  01:00:00,,,44001336.24069844,35432109.66098354,44001336.24069844,3301767.1765008066 
 10/02  02:00:00,,,43810769.315726146,35664344.84054358,43810769.315726146,2830745.478559867 
 10/02  03:00:00,,,44862852.54799577,35326225.971536584,44862852.54799577,4124619.0563492947 
 10/02  04:00:00,,,44892123.745819144,36340582.57855758,44892123.745819144,2811840.5537770465 
 10/02  05:00:00,,,51511685.913249075,39449002.77488339,51511685.913249075,6569954.935716809 
 10/02  06:00:00,,,55129471.56702762,41094578.63260723,55129471.56702762,5846043.571502825 
 10/02  07:00:00,,,51172099.77306229,41240610.59240643,51172099.77306229,5967896.842387574 
 10/02  08:00:00,,,51747237.803409465,42675062.48967143,51747237.803409465,5828067.492524898 
