Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 08/14  24:00:00,,,32563921.32683385,14305669.29334745,32563921.32683385,11842658.866439776 
 08/15  01:00:00,,,28266840.041474845,13585617.517379161,28266840.041474845,9418693.132114049 
 08/15  02:00:00,,,26291652.16191124,13591712.666568777,26291652.16191124,7440419.238325506 
 08/15  03:00:00,,,26557453.09082187,13466865.855553377,26557453.090821866,7779064.264159645 
 08/15  04:00:00,,,33889563.0901049,13841406.288599579,33889563.0901049,12809051.965822576 
 08/15  05:00:00,,,36420534.82175705,15532824.250617735,36420534.82175705,13895226.926893106 
 08/15  06:00:00,,,34689769.5714214,16709687.080735967,34689769.5714214,12991764.327585878 
 08/15  07:00:00,,,32051751.953019574,16407055.505720034,32051751.95301957,12234614.914639415 
 08/15  08:00:00,,,36264195.716836244,17576940.72395271,36264195.71683624,15260754.480465496 
 08/15  09:00:00,,,38543404.18745882,17952927.812822875,38543404.18745882,17151990.258350052 
 08/15  10:00:00,,,44759989.660979636,19770465.657027278,44759989.660979636,21546804.90653527 
 08/15  11:00:00,,,56860984.45287034,23835690.917326003,56860984.45287034,29318431.12193296 
 08/15  12:00:00,,,55630448.20749167,19895794.68665066,55630448.20749169,31729139.37175629 
 08/15  13:00:00,,,57271795.12227753,19645136.627403885,57271795.12227753,34172488.778918654 
 08/15  14:00:00,,,55666495.31584677,19394478.56815711,55666495.31584677,32797600.3054017 
 08/15  15:00:00,,,52985766.19659792,19394478.56815711,52985766.196597934,30129882.451791577 
 08/15  16:00:00,,,55722073.005589284,19770465.657027278,55722073.005589284,32606353.718242675 
 08/15  17:00:00,,,56747696.50802748,19770465.657027278,56747696.50802748,33633173.10699439 
 08/15  18:00:00,,,54355317.41889266,19519807.5977805,54355317.41889267,31490551.10508683 
 08/15  19:00:00,,,50981973.52592813,20236393.34861576,50981973.52592814,27404083.978930153 
 08/15  20:00:00,,,51854734.110765874,20997104.23645692,51854734.110765874,24222711.183653224 
 08/15  21:00:00,,,46724772.452663496,20855821.832743157,46724772.45266349,17735114.412509635 
 08/15  22:00:00,,,39531623.14576596,17212042.09661141,39531623.14576596,14223326.523634024 
