Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/06  24:00:00,,,28493450.075360123,14230163.41379362,28493450.075360123,6193097.586543073 
 01/07  01:00:00,,,21667671.45665855,9799715.716480097,21667671.456658546,5997169.335685808 
 01/07  02:00:00,,,13628210.456182096,8494172.147170749,13628210.456182096,180215.68058890913 
 01/07  03:00:00,,,13643237.98976484,8406448.159530781,13643237.989764836,173338.89104841586 
 01/07  04:00:00,,,13626302.652932364,8331702.850861384,13626302.65293236,221143.8889705989 
 01/07  05:00:00,,,14906872.230544489,8555938.776869582,14906872.230544489,848277.3445566676 
 01/07  06:00:00,,,20231723.507485062,9079155.937555382,20231723.50748506,6023240.567760752 
 01/07  07:00:00,,,24944242.96474856,10936315.736184288,24944242.96474856,6081543.273774381 
 01/07  08:00:00,,,24668670.522772502,11395199.261234123,24668670.52277249,6284337.315314563 
 01/07  09:00:00,,,21866617.7221516,12712696.611734191,21866617.7221516,6251044.931121385 
 01/07  10:00:00,,,21667912.98718436,12501906.748003354,21667912.98718436,6242863.07270949 
 01/07  11:00:00,,,22922446.461654007,13884401.869508507,22922446.461654004,6123221.21537221 
 01/07  12:00:00,,,27292967.349559825,17798742.07425888,27292967.34955982,6257254.184914121 
 01/07  13:00:00,,,23730815.27208109,13959435.880615775,23730815.272081085,6388264.528392217 
 01/07  14:00:00,,,23069239.777975306,13809367.858401237,23069239.777975302,6345648.311737768 
 01/07  15:00:00,,,22898899.56244308,13659299.8361867,22898899.562443074,6313363.109940413 
 01/07  16:00:00,,,22926817.403517637,13659299.8361867,22926817.403517634,6354035.243237598 
 01/07  17:00:00,,,25244808.605164573,15188873.570482,25244808.60516457,6435635.932534794 
 01/07  18:00:00,,,31281211.631331123,17089638.76514193,31281211.63133112,6445209.928607298 
 01/07  19:00:00,,,31431288.288025085,16939570.7429274,31431288.28802508,6755751.627822194 
 01/07  20:00:00,,,31888081.827163544,16789502.72071286,31888081.827163544,6999633.651275025 
 01/07  21:00:00,,,31664845.381290495,16639434.698498324,31664845.381290495,6951969.569157965 
 01/07  22:00:00,,,31315316.95200212,16489366.676283786,31315316.95200212,6947859.669986641 
 01/07  23:00:00,,,27108334.10999926,12598773.064778566,27108334.109999258,6926378.049977138 
 01/07  24:00:00,,,29071081.4741191,14230163.41379362,29071081.474119097,6770728.9867786635 
 01/08  01:00:00,,,22146213.192669075,9799715.716480097,22146213.19266907,6476876.819177765 
 01/08  02:00:00,,,14010787.7773806,8494172.147170749,14010787.777380597,589513.0397921577 
 01/08  03:00:00,,,13961054.862689199,8406448.159530781,13961054.862689199,532266.2631842622 
 01/08  04:00:00,,,14030993.629014056,8331702.850861384,14030993.629014054,654575.1957201184 
 01/08  05:00:00,,,14625051.23694216,8555938.776869582,14625051.23694216,586745.0454237147 
 01/08  06:00:00,,,20717158.556711163,9079155.937555382,20717158.556711163,6520784.379303474 
 01/08  07:00:00,,,25564309.15819814,10936315.736184288,25564309.15819814,6723405.333788568 
 01/08  08:00:00,,,25539903.06412337,11362076.293247456,25539903.064123366,7218745.557020592 
 01/08  09:00:00,,,21960010.801215485,11888786.242268512,21960010.80121548,7213239.849649534 
 01/08  10:00:00,,,21666745.6167037,11998276.249377785,21666745.6167037,6793115.020099442 
 01/08  11:00:00,,,22954076.711362675,13380760.981361147,22954076.711362675,6697864.742962125 
 01/08  12:00:00,,,27137450.70769976,17295101.186111525,27137450.707699753,6621549.494450251 
 01/08  13:00:00,,,23570417.51041334,13455794.992468415,23570417.510413337,6754506.17184085 
